Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbeizieher unter 15,Gesamtindex,Latitude,Longitude
4051446,Preußenpark,4.52,7.07,12.75,mittel,52.49249865,13.31312112785669
4051447,Ludwigkirchplatz,5.70,7.82,15.26,mittel,52.4975581,13.32267048960177
4051448,Schaperstraße,5.47,8.43,20.42,mittel,52.4992283,13.3328504
4051549,Rathaus Wilmersdorf,5.10,8.92,14.42,mittel,52.4896644,13.313963665510869
4051550,Leon-Jessel-Platz,5.05,8.65,18.47,mittel,52.4893871,13.319462159695625
4051551,Brabanter Platz,5.35,9.76,22.53,mittel,52.4818517,13.31649000631424
4051652,Nikolsburger Platz,4.43,7.43,12.49,mittel,52.4934355,13.3284191
4051653,Prager Platz,5.39,7.12,12.19,mittel,52.49314335,13.333019065383901
4051654,Wilhelmsaue,5.95,6.02,7.56,mittel,52.48542625,13.32245782817187
4051655,Babelsberger Straße,5.80,10.56,19.76,mittel,52.4878474,13.3351556
4051656,Hildegardstraße,4.31,6.55,12.18,mittel,52.4817891,13.3262748
5010101,Hakenfelde Nord,5.48,10.44,26.00,mittel,0,0
5010102,Goltzstraße,8.59,14.07,41.10,mittel,52.5622018,13.2136186
5010103,Amorbacher Weg,5.84,8.58,19.26,mittel,52.5575122,13.2070808
5010204,Griesingerstraße,11.90,24.75,57.53,sehr niedrig,52.5656034,13.1555705
5010205,An der Tränke,3.18,3.46,8.50,mittel,52.551654,13.147198
5010206,Gütersloher Weg,10.63,19.90,46.92,niedrig,52.5479306,13.171654
5010207,Darbystraße,11.54,27.53,56.08,sehr niedrig,52.5525049,13.1725366
5010208,Germersheimer Platz,12.11,23.53,57.87,sehr niedrig,52.544541800000005,13.187102137884068
5010209,An der Kappe,5.49,9.38,25.70,mittel,52.5427177,13.1692474
5010310,Eckschanze,10.88,20.21,44.71,niedrig,52.5517741,13.1978918
5010311,Eiswerder,11.24,24.13,53.53,sehr niedrig,52.548986,13.219156131881778
5010312,Kurstraße,12.20,28.03,60.86,sehr niedrig,52.5488113,13.2083949
5010313,Ackerstraße,10.09,20.66,47.24,niedrig,52.5384789,13.3841899
5010314,Carl-Schurz-Straße,9.07,18.37,41.87,mittel,52.5369404,13.2028448
5010339,Freiheit,9.35,16.74,29.26,mittel,52.4474283,13.5768876
5020415,Isenburger Weg,2.31,2.21,5.11,hoch,52.54475,13.1361566
5020416,Am Heideberg,4.89,6.44,18.18,mittel,52.5434989,13.1455742
5020417,Staakener Straße,4.11,6.69,15.70,mittel,52.5364014,13.1907598
5020418,Spandauer Straße,6.55,9.20,17.69,mittel,52.5203464,13.4045626
5020419,Magistratsweg,11.45,20.78,57.13,sehr niedrig,52.5202435,13.162583
5020420,Werkstraße,4.17,5.27,6.29,mittel,52.4820503,13.8333917
5020521,Döberitzer Weg,2.92,4.33,7.63,hoch,52.5271913,13.1291769
5020522,Pillnitzer Weg,13.26,31.14,64.58,sehr niedrig,52.5224715,13.1562682
5020523,Maulbeerallee,16.04,38.51,72.47,sehr niedrig,52.5240088,13.1677663
5020524,Weinmeisterhornweg,4.71,6.44,17.99,mittel,52.5106064,13.1731369
5020625,Borkumer Straße,8.28,15.46,45.63,mittel,52.5325392,13.194984
5020626,Adamstraße,8.36,16.20,37.58,mittel,52.521045,13.189567
5020627,Tiefwerder,10.08,23.21,56.34,niedrig,52.52058065,13.210121586404107
