Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbeizieher unter 15,Gesamtindex,Longitude,Latitude
2050601,Hausburgviertel,8.21,9.52,22.31,mittel,13.4530257,52.5246139
2050602,Samariterviertel,7.52,9.61,17.47,mittel,13.4655019,52.5172826
2050801,Traveplatz,7.6,11.5,27.15,mittel,13.470170096254137,52.5108664
2050802,Boxhagener Platz,6.1,7.77,14.27,mittel,13.459702997395421,52.5108076
2050803,Stralauer Kiez,7.3,10.93,29.29,mittel,0,0
2050804,Stralauer Halbinsel,2.82,3.37,4.45,hoch,0,0
3010101,Bucher Forst,7.99,9.01,16.56,mittel,13.4763274,52.6436803
3010102,Buch,10.62,15.93,43.7,mittel,13.4999292,52.6366724
3020203,Blankenfelde,6.06,3.29,8.87,mittel,13.3884468,52.6186272
3020209,Niederschönhausen,4.45,5.12,8.47,mittel,13.401397,52.5858062
3020210,Herthaplatz,5.0,5.69,9.47,mittel,13.4095706,52.5846986
3020307,Buchholz,4.72,6.45,12.8,mittel,13.4281104,52.6105131
3030405,Karow Nord,5.4,9.18,19.46,mittel,13.4900721,52.6169054
3030406,Alt-Karow,3.15,2.18,4.96,hoch,13.4856769,52.6157138
3030711,Blankenburg,3.12,2.65,4.49,hoch,13.4541825,52.593211
3030715,Heinersdorf,4.35,4.03,8.88,mittel,13.4370149,52.5728248
3030716,Märchenland,4.02,2.22,5.94,hoch,13.4542465,52.4885
3040508,Rosenthal,3.91,5.65,12.28,mittel,13.3755194,52.5983189
3040512,Wilhelmsruh,4.98,4.97,9.62,mittel,13.3622059,52.5880115
3040513,Schönholz,4.08,2.8,1.75,hoch,13.3809904,52.5715004
3040614,Pankow Zentrum,6.38,7.69,14.11,mittel,0,0
3040818,Pankow Süd,6.78,8.56,18.33,mittel,13.460076525798193,52.55739095
3050919,Gustav-Adolf-Straße,6.61,8.65,18.57,mittel,13.4426286,52.5570725
3050920,Weißer See,6.47,7.87,15.16,mittel,13.46342608088942,52.55407615
3050923,Weißenseer Spitze,8.88,9.54,17.34,mittel,0,0
3050924,Behaimstraße,10.15,10.86,20.6,mittel,13.4455249,52.5491634
3050925,Komponistenviertel Weißensee,6.99,9.38,16.57,mittel,13.4576533,52.5483207
3051017,Rennbahnstraße,7.2,9.36,21.44,mittel,13.4571644,52.56098
3051021,Buschallee,9.6,10.19,29.19,mittel,13.4681842,52.5537668
3051022,Hansastraße,6.79,10.89,35.19,mittel,13.5002976,52.5614103
3061126,Arnimplatz,6.65,7.01,10.88,mittel,13.409449419572233,52.5517551
3061131,Falkplatz,5.92,5.75,6.82,mittel,13.403701893218535,52.5458619
3061227,Humannplatz,6.33,6.66,12.64,mittel,13.422295698381111,52.549074000000005
